path,dataset,ref_raw,pred_raw,wer_raw,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
common_voice_uz_28904568.wav,common_voice,Menda savol sizib chiqadi.,Mendi savol siz deb chiqardim.,1.0,menda savol sizib chiqadi,mendi savol siz deb chiqardim,1.0,0.24,0.8519,4,5
505416.wav,uzbek_voice,Putinning Avstriyaga tashrifi munosabati bilan Vena havo hududi yopiladi.,Putinning Avstriyaga tashrif munosabati bilan Vena havo hududi yopiladi.,0.1111,putinning avstriyaga tashrifi munosabati bilan vena havo hududi yopiladi,putinning avstriyaga tashrif munosabati bilan vena havo hududi yopiladi,0.1111,0.0139,0.993,9,9
181738.wav,uzbek_voice,Paxta yog'i qadog'ida O'zbekistonda ishlab chiqarilganligi yozilgan.,Paxta yog'i qadog'ida O'zbekistonda ishlab chiqarilganligi yozilgan.,0.0,paxta yog'i qadog'ida o'zbekistonda ishlab chiqarilganligi yozilgan,paxta yog'i qadog'ida o'zbekistonda ishlab chiqarilganligi yozilgan,0.0,0.0,1.0,7,7
common_voice_uz_28888160.wav,common_voice,"O'shanda ham ular osh, dabdaba va ilmga kam e'tibor haqida gapirishgan.","O'shanda ham ular osh, dabdaba va ilmga kam e'tibor haqida gapirishgan.",0.0,o'shanda ham ular osh dabdaba va ilmga kam e'tibor haqida gapirishgan,o'shanda ham ular osh dabdaba va ilmga kam e'tibor haqida gapirishgan,0.0,0.0,1.0,11,11
428737.wav,uzbek_voice,Bokschi dastlabki bosqichda turkmanistonlik Bayramxon Permanovga qarshi ringga ko'tariladi.,Bokschi dastlabki bosqichda turkmanistonlik bayramxon Permanovga qarshi ringga ko'tariladi.,0.1111,bokschi dastlabki bosqichda turkmanistonlik bayramxon permanovga qarshi ringga ko'tariladi,bokschi dastlabki bosqichda turkmanistonlik bayramxon permanovga qarshi ringga ko'tariladi,0.0,0.0,1.0,9,9
common_voice_uz_29659902.wav,common_voice,ota-onasini chaqirib qo'yaman,Ota-onasini chaqirib qo'yaman.,0.6667,ota-onasini chaqirib qo'yaman,ota-onasini chaqirib qo'yaman,0.0,0.0,1.0,3,3
common_voice_uz_28889496.wav,common_voice,Lekin aksariyat holatlarda bunaqa qo'pol ma'no ifodalanmaydi.,Lekin aksariyat holatlarda unaqa qo'pol ma'no ifodalanmaydi.,0.1429,lekin aksariyat holatlarda bunaqa qo'pol ma'no ifodalanmaydi,lekin aksariyat holatlarda unaqa qo'pol ma'no ifodalanmaydi,0.1429,0.0167,0.9916,7,7
common_voice_uz_28890060.wav,common_voice,U esa meni tushunmayapti deb takroran so'rayvergan.,"U esa meni tushunmayapti, deb takroran so'rayvergan.",0.1429,u esa meni tushunmayapti deb takroran so'rayvergan,u esa meni tushunmayapti deb takroran so'rayvergan,0.0,0.0,1.0,7,7
common_voice_uz_28909421.wav,common_voice,"Har kuni kimningdir o'lim xabari keladi. O'g'ilning, otaning, akaning, erning.","Har kuni kimningdir o'lim xabari keladi. O'g'ilning otaning, akaning, erning.",0.1,har kuni kimningdir o'lim xabari keladi o'g'ilning otaning akaning erning,har kuni kimningdir o'lim xabari keladi o'g'ilning otaning akaning erning,0.0,0.0,1.0,10,10
10170.wav,it,"Assalomu alaykum, meni ismim Ismoil, yoshim 25 da, hozirda International o'quv markazida QA testerovshik bo'lib ishlayman.","Assalomu alaykum, mana ismim Ismoil, yoshim 25 da, hozirda International o'quv markazida quviy test turi oshib bo'lib ishlayman.",0.3125,assalomu alaykum meni ismim ismoil yoshim yigirma beshda hozirda international o'quv markazida qa testerovshik bo'lib ishlayman,assalomu alaykum mana ismim ismoil yoshim yigirma beshda hozirda international o'quv markazida quviy test turi oshib bo'lib ishlayman,0.3125,0.1024,0.9308,16,18
05343.wav,it,"default input ya'ni shundoq ham ega bo'ladigan o'lchovi, keyingisi esa form control sm ya'ni kichikroq o'lchovga ega bo'lgan input yaratilganini ko'rishimiz mumkin. Agar biz bularni har birini masalan div va class","input, ya'ni shundoq ham ega bo'ladigan o'lchovni keyingisi esa form control sm, ya'ni kichikroq o'lchovga ega bo'lgan input yaratilganini ko'rishimiz ham mumkin. Agar biz bularni har birini, masalan, div va klass",0.2581,default input ya'ni shundoq ham ega bo'ladigan o'lchovi keyingisi esa form control sm ya'ni kichikroq o'lchovga ega bo'lgan input yaratilganini ko'rishimiz mumkin agar biz bularni har birini masalan div va class,input ya'ni shundoq ham ega bo'ladigan o'lchovni keyingisi esa form control sm ya'ni kichikroq o'lchovga ega bo'lgan input yaratilganini ko'rishimiz ham mumkin agar biz bularni har birini masalan div va klass,0.129,0.0664,0.0573,31,31
368415.wav,uzbek_voice,Saudiya Arabistoni kinoijodkorlari birinchi marta Kann festivalida qatnashadi.,Saudiya Arabistonlik kino ijodkorlari birinchi marta kan festivalida qatnashadi.,0.5,saudiya arabistoni kinoijodkorlari birinchi marta kann festivalida qatnashadi,saudiya arabistonlik kino ijodkorlari birinchi marta kan festivalida qatnashadi,0.5,0.0519,0.9744,8,9
common_voice_uz_28869903.wav,common_voice,"Birinchi jahon urushidan so'ng, chor Rossiyasi o'rnida Sovet davlati qaror topgan.",Birinchi jahon urushidan so'ng Chor Rossiyasi o'rnida Sovet davlati qaror topgan.,0.1818,birinchi jahon urushidan so'ng chor rossiyasi o'rnida sovet davlati qaror topgan,birinchi jahon urushidan so'ng chor rossiyasi o'rnida sovet davlati qaror topgan,0.0,0.0,1.0,11,11
859891.wav,uzbek_voice,941 687,941 687,0.0,to'qqiz yuz qirq bir ming olti yuz sakson yetti,to'qqiz yuz qirq bir ming olti yuz sakson yetti,0.0,0.0,1.0,9,9
common_voice_uz_29496531.wav,common_voice,Bu borada ishga kirishish uchun mening amaliy taklifim ham bor.,Bu borada ishga kirishish uchun mening amaliy tartibim ham bor.,0.1,bu borada ishga kirishish uchun mening amaliy taklifim ham bor,bu borada ishga kirishish uchun mening amaliy tartibim ham bor,0.1,0.0484,0.9516,10,10
common_voice_uz_29398306.wav,common_voice,Agar ushbu qonunda bunday ma'lumotlarni taqdim etishning boshqacha tartibi nazarda tutilgan bo'lmasa.,"Agar ushbu qonunda bunday ma'lumotlarni taqdim etishning boshqacha tartibi nazarda tutilgan bo'lmasa,",0.0833,agar ushbu qonunda bunday ma'lumotlarni taqdim etishning boshqacha tartibi nazarda tutilgan bo'lmasa,agar ushbu qonunda bunday ma'lumotlarni taqdim etishning boshqacha tartibi nazarda tutilgan bo'lmasa,0.0,0.0,1.0,12,12
common_voice_uz_29396354.wav,common_voice,Bu endi jumboq.,Bu endi jumboq.,0.0,bu endi jumboq,bu endi jumboq,0.0,0.0,1.0,3,3
568952.wav,uzbek_voice,Zamonaviy uylarda istiqomat qilayotganlarning aksariyati yosh oilalardir.,Zamonaviy uylarda istiqomat qilayotganlarning aksariyati yosh oilalardir.,0.0,zamonaviy uylarda istiqomat qilayotganlarning aksariyati yosh oilalardir,zamonaviy uylarda istiqomat qilayotganlarning aksariyati yosh oilalardir,0.0,0.0,1.0,7,7
340399.wav,uzbek_voice,Tuman arxitektori esa xulosa chiqarib berishdan bosh tortdi.,Tuman arxitektori esa xulosa chiqarib berishdan bosh tortdi.,0.0,tuman arxitektori esa xulosa chiqarib berishdan bosh tortdi,tuman arxitektori esa xulosa chiqarib berishdan bosh tortdi,0.0,0.0,1.0,8,8
117587.wav,uzbek_voice,Pech eshigini yoping va ertalabgacha qoldiring.,Pech eshigini yoping va ertalabgacha qoldiring.,0.0,pech eshigini yoping va ertalabgacha qoldiring,pech eshigini yoping va ertalabgacha qoldiring,0.0,0.0,1.0,6,6
839120.wav,uzbek_voice,"Shodivoy shu qadar ma'yus o'tirardiki, jo'ramga yuragim tuzdek achib ketdi.","Shodivoy shu qadar ma'yuz o'tirardiki, jur'amga yuragim tuzdek achib ketdi.",0.2,shodivoy shu qadar ma'yus o'tirardiki jo'ramga yuragim tuzdek achib ketdi,shodivoy shu qadar ma'yuz o'tirardiki jur'amga yuragim tuzdek achib ketdi,0.2,0.0548,0.9589,10,10
261035.wav,uzbek_voice,Ro'yxatga 10 ta kompaniyaning mashinalari kirgan.,Ro'yxatga 10 ta kompaniyaning mashinalari kirgan.,0.0,ro'yxatga o'nta kompaniyaning mashinalari kirgan,ro'yxatga o'nta kompaniyaning mashinalari kirgan,0.0,0.0,1.0,5,5
100240.wav,uzbek_voice,Mukofotni estramizning yorqin yulduzi Lola topshirdi.,Mukofotni esitiradamiz yorqin yulduzi loli topshirdi.,0.3333,mukofotni estramizning yorqin yulduzi lola topshirdi,mukofotni esitiradamiz yorqin yulduzi loli topshirdi,0.3333,0.1731,0.9038,6,6
347756.wav,uzbek_voice,Jizzax hozirda eng kam koronavirus aniqlangan hudud hisoblanadi.,Jizzax hozirda eng kam koronavirus aniqlangan hudud hisoblanadi.,0.0,jizzax hozirda eng kam koronavirus aniqlangan hudud hisoblanadi,jizzax hozirda eng kam koronavirus aniqlangan hudud hisoblanadi,0.0,0.0,1.0,8,8
194763.wav,uzbek_voice,Kun qahramoni Toshkentning Sebzor chorrahasidagi yo'l nazoratchisi.,Kun qahramoni Toshkentning Sebzor chorrahasidagi yo'l nazoratchisi.,0.0,kun qahramoni toshkentning sebzor chorrahasidagi yo'l nazoratchisi,kun qahramoni toshkentning sebzor chorrahasidagi yo'l nazoratchisi,0.0,0.0,1.0,7,7
360964.wav,uzbek_voice,"Muhtaram janob prezident, hurmatli bosh vazir, senatorlar, deputatlar.","Muhtaram janob prezident, hurmatli bosh vazir, senatorlar, deputatlar.",0.0,muhtaram janob prezident hurmatli bosh vazir senatorlar deputatlar,muhtaram janob prezident hurmatli bosh vazir senatorlar deputatlar,0.0,0.0,1.0,8,8
735502.wav,uzbek_voice,Huquqbuzarlikka tergov ishlari doirasida tegishli baho beriladi.,Huquqbuzarlikka tergov ishlari doirasida tegishli baho beriladi.,0.0,huquqbuzarlikka tergov ishlari doirasida tegishli baho beriladi,huquqbuzarlikka tergov ishlari doirasida tegishli baho beriladi,0.0,0.0,1.0,7,7
451170.wav,uzbek_voice,Shu bois ayolning yaqinlari pullarning qoldig'ini qidirish bilan band.,Shu bois ayolning yaqinlari pullarning qoldig'ini qidirish bilan band.,0.0,shu bois ayolning yaqinlari pullarning qoldig'ini qidirish bilan band,shu bois ayolning yaqinlari pullarning qoldig'ini qidirish bilan band,0.0,0.0,1.0,9,9
191461.wav,uzbek_voice,Energetika vazirligi tarkibida yangi tayinlov amalga oshirildi.,Energetika vazirligi tarkibida yangi tayinlov amalga oshirildi.,0.0,energetika vazirligi tarkibida yangi tayinlov amalga oshirildi,energetika vazirligi tarkibida yangi tayinlov amalga oshirildi,0.0,0.0,1.0,7,7
82652.wav,uzbek_voice,"Demak, bugungi yig'ilishimiz mavzusi shunga bag'ishlanadi.","Demak, bugungi yig'ilishimiz mavzusi shunga bag'ishlanadi.",0.0,demak bugungi yig'ilishimiz mavzusi shunga bag'ishlanadi,demak bugungi yig'ilishimiz mavzusi shunga bag'ishlanadi,0.0,0.0,1.0,6,6
00009301.wav,news,"Endi hozirgi vaqtda agar bitta akkaunt ishlatsangiz, misol uchun aytaylik Deliveroo, kuniga 10 soat ishlasangiz, topasiz 100-120 funtda. Bu hafta kunlari.","Endi hozirgi vaqtda agar bitta akkaunt ishlasangiz, misol uchun aytaylik, deliverer. Kundiga 10 soat ishlasangiz, topasiz, 100, 120 funtda. Bu hafta kunlari.",0.3333,endi hozirgi vaqtda agar bitta akkaunt ishlatsangiz misol uchun aytaylik deliveroo kuniga o'n soat ishlasangiz topasiz yuz-bir yuz yigirma funtda bu hafta kunlari,endi hozirgi vaqtda agar bitta akkaunt ishlasangiz misol uchun aytaylik deliverer kundiga o'n soat ishlasangiz topasiz yuz bir yuz yigirma funtda bu hafta kunlari,0.2174,0.0309,0.9753,23,24
336903.wav,uzbek_voice,"Shundan keyin haydovchi boshqaruvni yo'qotib, termit iniga urilgan.","Shundan keyin haydovchi boshqaruvni yo'qotib, termit iniga urilgan.",0.0,shundan keyin haydovchi boshqaruvni yo'qotib termit iniga urilgan,shundan keyin haydovchi boshqaruvni yo'qotib termit iniga urilgan,0.0,0.0,1.0,8,8
860088.wav,uzbek_voice,938 482,938 482,0.0,to'qqiz yuz o'ttiz sakkiz ming to'rt yuz sakson ikki,to'qqiz yuz o'ttiz sakkiz ming to'rt yuz sakson ikki,0.0,0.0,1.0,9,9
292055.wav,uzbek_voice,Surxondaryo viloyatida ekin maydonlari optimallashtiriladi.,Surxondaryo viloyatida ekin maydonlari optimallashtiriladi.,0.0,surxondaryo viloyatida ekin maydonlari optimallashtiriladi,surxondaryo viloyatida ekin maydonlari optimallashtiriladi,0.0,0.0,1.0,5,5
00010920.wav,news,"qilgan bo'lishi mumkin. Ya'ni moddiy manfaatdorligini oshirish, O'zbekistonda sotilayotgan avtomobillar. Uchinchi taxminim, men shunga","bo'lishi mumkin, ya'ni moddiy manfaatdorligini oshirish, O'zbekistonda sotilayotgan avtomobillar. Uchinchi taxminim, men shunga",0.2143,qilgan bo'lishi mumkin ya'ni moddiy manfaatdorligini oshirish o'zbekistonda sotilayotgan avtomobillar uchinchi taxminim men shunga,bo'lishi mumkin ya'ni moddiy manfaatdorligini oshirish o'zbekistonda sotilayotgan avtomobillar uchinchi taxminim men shunga,0.0714,0.0538,0.9723,14,13
00011705.wav,news,"O'sha. Lekin shuni ham yuqorida akangiz bilan ham gaplashganimda, aynan Boburni ism-familiyasini aytganimizda ma'lumot berishmadi. Yo'q, yo'q ma'lumot bermayapti. Shuni ham aytib bering. O'sha Bobur G'aniev desak ma'lumot berishmadi, keyin yonidagi bolani ismini aytgandik, ularni sudi bo'lyapti, o'sha 20-da tugaydi, o'shandan keyin chiqasizlar dedi.","O'sha, lekin shuni ham yuqorida akangiz bilan ham gaplashganimda aynan Boburni ism familiyasini aytganimizda ma'lumot bermayapti. Shuni ham aytib bering. O'sha Boburganiyev desa ma'lumot berishmadi. Keyin yonidagi bolani ismini aytganimdek, ularni sudi bo'lyapti, o'sha 20 ta tugaydi, o'shandan keyin chiqasizlar.",0.4318,o'sha lekin shuni ham yuqorida akangiz bilan ham gaplashganimda aynan boburni ism-familiyasini aytganimizda ma'lumot berishmadi yo'q yo'q ma'lumot bermayapti shuni ham aytib bering o'sha bobur g'aniev desak ma'lumot berishmadi keyin yonidagi bolani ismini aytgandik ularni sudi bo'lyapti o'sha yigirmainchi da tugaydi o'shandan keyin chiqasizlar dedi,o'sha lekin shuni ham yuqorida akangiz bilan ham gaplashganimda aynan boburni ism familiyasini aytganimizda ma'lumot bermayapti shuni ham aytib bering o'sha boburganiyev desa ma'lumot berishmadi keyin yonidagi bolani ismini aytganimdek ularni sudi bo'lyapti o'sha yigirmata tugaydi o'shandan keyin chiqasizlar,0.2889,0.1429,0.3854,45,39
common_voice_uz_29113192.wav,common_voice,"Shunga asosan, o'lka nomining lug'aviy ma'nosini beradi.",Shunga asosan o'lka nomining lug'aviy ma'nosini beradi.,0.1429,shunga asosan o'lka nomining lug'aviy ma'nosini beradi,shunga asosan o'lka nomining lug'aviy ma'nosini beradi,0.0,0.0,1.0,7,7
859915.wav,uzbek_voice,547 371,547 371,0.0,besh yuz qirq yetti ming uch yuz yetmish bir,besh yuz qirq yetti ming uch yuz yetmish bir,0.0,0.0,1.0,9,9
157401.wav,uzbek_voice,Masning so'rog'i bir soatdan ortiq davom etgan.,Masning so'rog'i bir soatdan ortiq davom etgan.,0.0,masning so'rog'i bir soatdan ortiq davom etgan,masning so'rog'i bir soatdan ortiq davom etgan,0.0,0.0,1.0,7,7
197639.wav,uzbek_voice,Avstraliyada Pokemonlarning birini eslatib yuboradigan Pikachu topildi.,Avstraliyada Pokemonlarning birini eslatib yuboradigan Pikachu topildi.,0.0,avstraliyada pokemonlarning birini eslatib yuboradigan pikachu topildi,avstraliyada pokemonlarning birini eslatib yuboradigan pikachu topildi,0.0,0.0,1.0,7,7
14367.wav,uzbek_voice,"Jonim qizim, adashgan ekanman.",Jonim qizim adashgan ekanman.,0.25,jonim qizim adashgan ekanman,jonim qizim adashgan ekanman,0.0,0.0,1.0,4,4
389789.wav,uzbek_voice,Amerika federal hukumatining qarzi aynan shuncha pulga baholanmoqda.,Amerika federal hukumatining qarzi aynan shuncha pulga baholanmoqda.,0.0,amerika federal hukumatining qarzi aynan shuncha pulga baholanmoqda,amerika federal hukumatining qarzi aynan shuncha pulga baholanmoqda,0.0,0.0,1.0,8,8
361157.wav,uzbek_voice,Kuchli og'riqni sezganidan keyingina u texnikani elektrdan uzdi.,Kuchli og'rig'ni sezganidan keyingina u texnikani elektrdan uzdi.,0.125,kuchli og'riqni sezganidan keyingina u texnikani elektrdan uzdi,kuchli og'rig'ni sezganidan keyingina u texnikani elektrdan uzdi,0.125,0.0317,0.9764,8,8
common_voice_uz_28928226.wav,common_voice,bo'ladigan ruhiy boyligini o'zlashtiradilar.,bo'ladigan ruhiy boyligini o'zlashtiradilar.,0.0,bo'ladigan ruhiy boyligini o'zlashtiradilar,bo'ladigan ruhiy boyligini o'zlashtiradilar,0.0,0.0,1.0,4,4
common_voice_uz_29453632.wav,common_voice,Mana shular rivojlanishimizga to'siq bo'ladi.,Mana shular rivojlanishimizga to'siq bo'ladi.,0.0,mana shular rivojlanishimizga to'siq bo'ladi,mana shular rivojlanishimizga to'siq bo'ladi,0.0,0.0,1.0,5,5
367702.wav,uzbek_voice,Ushbu holat yuzasidan tergovgacha bo'lgan tadbirlar olib borilmoqda.,Ushbu holat yuzasidan tergovgacha bo'lgan tadbirlar olib borilmoqda.,0.0,ushbu holat yuzasidan tergovgacha bo'lgan tadbirlar olib borilmoqda,ushbu holat yuzasidan tergovgacha bo'lgan tadbirlar olib borilmoqda,0.0,0.0,1.0,8,8
260279.wav,uzbek_voice,Suratda Boku aholisi harbiylarni olqishlamoqda.,Suratda Boku aholisi harbiylarni olqishlamoqda.,0.0,suratda boku aholisi harbiylarni olqishlamoqda,suratda boku aholisi harbiylarni olqishlamoqda,0.0,0.0,1.0,5,5
common_voice_uz_29653972.wav,common_voice,Inson tanasidagi eng murakkab va mukammal ishlaydigan yagona a'zo bu miya hisoblanadi.,Inson tanasidagi eng murakkab va mukammal ishlaydigan yagona azobi miya hisoblanadi.,0.1667,inson tanasidagi eng murakkab va mukammal ishlaydigan yagona a'zo bu miya hisoblanadi,inson tanasidagi eng murakkab va mukammal ishlaydigan yagona azobi miya hisoblanadi,0.1667,0.0353,0.9762,12,11
192003.wav,uzbek_voice,Anjumanda sohamiz bo'yicha foydali ma'lumotlarga ega bo'ldik.,Anjumanda sohamiz bo'yicha foydali ma'lumotlarga ega bo'ldik.,0.0,anjumanda sohamiz bo'yicha foydali ma'lumotlarga ega bo'ldik,anjumanda sohamiz bo'yicha foydali ma'lumotlarga ega bo'ldik,0.0,0.0,1.0,7,7
common_voice_uz_28902071.wav,common_voice,ustoz tushunchasi mening nazarimda ibrat,ustoz tushunchasi mening nazarimda ibrat,0.0,ustoz tushunchasi mening nazarimda ibrat,ustoz tushunchasi mening nazarimda ibrat,0.0,0.0,1.0,5,5
718376.wav,uzbek_voice,Murakkab va ziddiyatli holatlarda markaziy poliklinikalardan birida bepul tibbiy ko'rikdan o'tkaziladi.,Murakkab va ziddiyatli holatlarda markaziy poliklinikalardan birida bepul tibbiy ko'rikdan o'tkaziladi.,0.0,murakkab va ziddiyatli holatlarda markaziy poliklinikalardan birida bepul tibbiy ko'rikdan o'tkaziladi,murakkab va ziddiyatli holatlarda markaziy poliklinikalardan birida bepul tibbiy ko'rikdan o'tkaziladi,0.0,0.0,1.0,11,11
732710.wav,uzbek_voice,Niqob taqish kabi karantin qoidalariga mutlaqo rioya etilmaganini ta'kidlagan.,Qandiqob taqish kabi karantin qoidalariga mutlaqo rioya etilmaganini ta'kidlagan.,0.1111,niqob taqish kabi karantin qoidalariga mutlaqo rioya etilmaganini ta'kidlagan,qandiqob taqish kabi karantin qoidalariga mutlaqo rioya etilmaganini ta'kidlagan,0.1111,0.039,0.9809,9,9
common_voice_uz_29007617.wav,common_voice,Bitta dam olish uyining o'zida ikki-uchta hovuz ishlab turadi.,Bitta dam olish uyining o'zida ikki-uchta hovuz ishlab turadi.,0.0,bitta dam olish uyining o'zida ikki-uchta hovuz ishlab turadi,bitta dam olish uyining o'zida ikki-uchta hovuz ishlab turadi,0.0,0.0,1.0,9,9
857819.wav,uzbek_voice,Hayotimiz yashash davomida yuzaga kelgan qiyinchiliklarni yengishga ketgan kuchimizning qiymatiga teng.,Hayotimiz yashash davomida yuzaga kelgan qiyinchiliklarni yengishga ketgan kuchimizning qiymatiga teng.,0.0,hayotimiz yashash davomida yuzaga kelgan qiyinchiliklarni yengishga ketgan kuchimizning qiymatiga teng,hayotimiz yashash davomida yuzaga kelgan qiyinchiliklarni yengishga ketgan kuchimizning qiymatiga teng,0.0,0.0,1.0,11,11
472982.wav,uzbek_voice,"Hozirda mazkur yo'nalishdagi tadbirlarning o'tkazilishi davom ettirilmoqda, deyiladi xabarda.","Hozirda mazkur yo'nalishdagi tadbirlarning o'tkazilishi davom ettirilmoqda, deyiladi xabarda.",0.0,hozirda mazkur yo'nalishdagi tadbirlarning o'tkazilishi davom ettirilmoqda deyiladi xabarda,hozirda mazkur yo'nalishdagi tadbirlarning o'tkazilishi davom ettirilmoqda deyiladi xabarda,0.0,0.0,1.0,9,9
common_voice_uz_29247391.wav,common_voice,"Bu ayol bilan shunchaki tanishman, ishida ozgina muammolari bor ekan.","Bu ayol bilan shunchaki tanishman, ishida ozgina muammolari bor ekan.",0.0,bu ayol bilan shunchaki tanishman ishida ozgina muammolari bor ekan,bu ayol bilan shunchaki tanishman ishida ozgina muammolari bor ekan,0.0,0.0,1.0,10,10
95833.wav,uzbek_voice,O'zbekiston qahramoni Erkin Vohidov she'rlaridan namunalar,O'zbekiston qahramoni erkin va xitib she'rlaridan namunalar.,0.6667,o'zbekiston qahramoni erkin vohidov she'rlaridan namunalar,o'zbekiston qahramoni erkin va xitib she'rlaridan namunalar,0.3333,0.1034,0.906,6,7
188124.wav,uzbek_voice,Biznesini ham birovning orqasidan yuritadiganlar yo'q emas.,Biznesini ham birovning orqasidan yuritadiganlar yo'q emas.,0.0,biznesini ham birovning orqasidan yuritadiganlar yo'q emas,biznesini ham birovning orqasidan yuritadiganlar yo'q emas,0.0,0.0,1.0,7,7
00011182_1.wav,news,"bo'lmagan dorilarni. Shu keyin oldimga meditsestralar turgan edi va vsyo zapisyvali, chto ona govorit i etot, chto my delayem va keyin men aytdimki, etot, kak yego?","Bumagan dorilarni shu keyin oldingi magistralar turdi i vsyo zapisvali. Chonoq govorit i etot, chunki delyo im. Keyin men aytdimki, etot kak yevo",0.6923,bo'lmagan dorilarni shu keyin oldimga meditsestralar turgan edi va vsyo zapisyvali chto ona govorit i etot chto my delayem va keyin men aytdimki etot kak yego,bumagan dorilarni shu keyin oldingi magistralar turdi i vsyo zapisvali chonoq govorit i etot chunki delyo im keyin men aytdimki etot kak yevo,0.5385,0.2089,0.8361,26,23
617336.wav,uzbek_voice,Imzo viloyatlarda ishlab chiqarish bazalarini qurishni boshlaydi.,Imzo viloyatlarda ishlab chiqarish bazalarini qurishni boshlaydi.,0.0,imzo viloyatlarda ishlab chiqarish bazalarini qurishni boshlaydi,imzo viloyatlarda ishlab chiqarish bazalarini qurishni boshlaydi,0.0,0.0,1.0,7,7
common_voice_uz_29471024.wav,common_voice,Hamma foydalanishi mumkin bo'lgan elektron axborot resurslari yaratilishi mumkin.,Hamma foydalanishi mumkin bo'lgan elektron axborot resurslari yaratilishi mumkin.,0.0,hamma foydalanishi mumkin bo'lgan elektron axborot resurslari yaratilishi mumkin,hamma foydalanishi mumkin bo'lgan elektron axborot resurslari yaratilishi mumkin,0.0,0.0,1.0,9,9
857926.wav,uzbek_voice,835 764,835 764,0.0,sakkiz yuz o'ttiz besh ming yetti yuz oltmish to'rt,sakkiz yuz o'ttiz besh ming yetti yuz oltmish to'rt,0.0,0.0,1.0,9,9
858903.wav,uzbek_voice,236 788,236 788,0.0,ikki yuz o'ttiz olti ming yetti yuz sakson sakkiz,ikki yuz o'ttiz olti ming yetti yuz sakson sakkiz,0.0,0.0,1.0,9,9
common_voice_uz_29348002.wav,common_voice,Eng yaqin mehmonxona qaysi?,Eng yaqin mehmonxona qaysi?,0.0,eng yaqin mehmonxona qaysi,eng yaqin mehmonxona qaysi,0.0,0.0,1.0,4,4
126336.wav,uzbek_voice,Navbatdagi supermarket Fayzobod mahallasida xaridorlarga eshiklarini ochdi.,Navbatdagi supermarket Fayzobod mahallasida xaridorlarga eshiklarini ochdi.,0.0,navbatdagi supermarket fayzobod mahallasida xaridorlarga eshiklarini ochdi,navbatdagi supermarket fayzobod mahallasida xaridorlarga eshiklarini ochdi,0.0,0.0,1.0,7,7
206721.wav,uzbek_voice,"Yaqinda ko'rishamiz, do'stim.","Yaqinda ko'rishamiz, do'stim.",0.0,yaqinda ko'rishamiz do'stim,yaqinda ko'rishamiz do'stim,0.0,0.0,1.0,3,3
359614.wav,uzbek_voice,Taklif etilgan o'zgarishlar jamoatchilikning salbiy munosabatiga sabab bo'ldi.,Taklif etilgan o'zgarishlar jamoatchilikning salbiy munosabatiga sabab bo'ldi.,0.0,taklif etilgan o'zgarishlar jamoatchilikning salbiy munosabatiga sabab bo'ldi,taklif etilgan o'zgarishlar jamoatchilikning salbiy munosabatiga sabab bo'ldi,0.0,0.0,1.0,8,8
147505.wav,uzbek_voice,Jurnalistlarga rahmat deya fikr bildirgan viloyat hokimi.,Jurnalistlarga rahmat deya fikr bildirgan viloyat hokimi.,0.0,jurnalistlarga rahmat deya fikr bildirgan viloyat hokimi,jurnalistlarga rahmat deya fikr bildirgan viloyat hokimi,0.0,0.0,1.0,7,7
00005812.wav,news,"generativ model yaratasiz, keyin diskriminativ modelni yaratasiz. Generativ yaratuvchi bo'ladigan bo'lsa, yaratgan narsalarini diskriminativ narsa discriminate qilish, ya'ni ajrata olishlilik qobiliyati."," generativ modelni yaratasiz, keyin diskriminativ modelni yaratasiz. Generativ yaratuvchi bo'ladigan bo'lsa, yaratgan narsalarini diskriminativ narsa, diskriminate qilish, ya'ni ajrata olishlik qobiliyati",0.2381,generativ model yaratasiz keyin diskriminativ modelni yaratasiz generativ yaratuvchi bo'ladigan bo'lsa yaratgan narsalarini diskriminativ narsa discriminate qilish ya'ni ajrata olishlilik qobiliyati,generativ modelni yaratasiz keyin diskriminativ modelni yaratasiz generativ yaratuvchi bo'ladigan bo'lsa yaratgan narsalarini diskriminativ narsa diskriminate qilish ya'ni ajrata olishlik qobiliyati,0.1429,0.0253,0.9848,21,21
195468.wav,uzbek_voice,Oxirgi marta ikki yil oldin ko'rishgan edik.,Oxirgi marta ikki yil oldin ko'rishgan edik.,0.0,oxirgi marta ikki yil oldin ko'rishgan edik,oxirgi marta ikki yil oldin ko'rishgan edik,0.0,0.0,1.0,7,7
336596.wav,uzbek_voice,Kompaniyaning asosiy vazifasi O'zbekistonning an'anaviy bozorlardagi pozitsiyasini qaytarish.,Kompaniyaning asosiy vazifasi O'zbekistonning an'anaviy bozorlardagi pozitsiyasini qaytarish.,0.0,kompaniyaning asosiy vazifasi o'zbekistonning an'anaviy bozorlardagi pozitsiyasini qaytarish,kompaniyaning asosiy vazifasi o'zbekistonning an'anaviy bozorlardagi pozitsiyasini qaytarish,0.0,0.0,1.0,8,8
common_voice_uz_29340943.wav,common_voice,"Oq qoraga, qora oqqa aylanaverar.",Oq qoraga qora oqqa aylanaveradi.,0.4,oq qoraga qora oqqa aylanaverar,oq qoraga qora oqqa aylanaveradi,0.2,0.0645,0.9524,5,5
